cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
256	ESCUELA DE NEGOCIOS	ISEDE	Escuela De Negocios	ISEDE	Escuela De Negocios	MAGIX
190	ISEDE	ISEDE	Isede	ISEDE	Isede	MAGIX
358	ESCUELA DE NEGOCIOS	ISEDE	Escuela De Negocios	ISEDE	Escuela De Negocios	MAGIX
183	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
284	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
309	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
205	ASESORÍA LEGAL	RECTORADO	Asesoría Legal	RECTORADO	Asesoría Legal	MAGIX
216	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
353	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
319	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
249	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
217	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
342	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
464	OFICINA DE TITULACIÓN	RECTORADO	Oficina De Titulación	RECTORADO	Oficina De Titulación	MAGIX
463	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
352	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
193	SECRETARIA DE PLANEAMIENTO Y ANÁLISIS INSTITUCIONAL	RECTORADO	Secretaria De Planeamiento Y Análisis Institucional	RECTORADO	Secretaria De Planeamiento Y Análisis Institucional	MAGIX
171	ASESORÍA LEGAL	RECTORADO	Asesoría Legal	RECTORADO	Asesoría Legal	MAGIX
320	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
182	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
250	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
413	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
137	ASESORÍA LEGAL	RECTORADO	Asesoría Legal	RECTORADO	Asesoría Legal	MAGIX
239	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
148	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
149	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
387	REGISTRO ACADÉMICO	RECTORADO	Registro Académico	RECTORADO	Registro Académico	MAGIX
386	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
159	SECRETARIA DE PLANEAMIENTO Y ANÁLISIS INSTITUCIONAL	RECTORADO	Secretaria De Planeamiento Y Análisis Institucional	RECTORADO	Secretaria De Planeamiento Y Análisis Institucional	MAGIX
283	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
273	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
424	OFICINA DE TITULACIÓN	RECTORADO	Oficina De Titulación	RECTORADO	Oficina De Titulación	MAGIX
423	RECTORADO	RECTORADO	Rectorado	RECTORADO	Rectorado	MAGIX
