cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
380	DIRECCIÓN DE PLANTA FÍSICA                                                                          	VRAD      	Dirección De Planta Física                                                                          	VRAD      	Dirección De Planta Física                                                                          	MAGIX
379	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA                                                               	VRAD      	Dirección Administrativa Y Financiera                                                               	VRAD      	Dirección Administrativa Y Financiera                                                               	MAGIX
378	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL                                                         	VCU       	Dci-Dirección De Comunicación Institucional                                                         	VCU       	Dci-Dirección De Comunicación Institucional                                                         	MAGIX
377	SISTEMAS DE BIBLIOTECA                                                                              	VII	Sistemas De Biblioteca                                                                              	VII	Sistemas De Biblioteca                                                                              	MAGIX
376	SECRETARÍA DE ASUNTOS JURÍDICOS                                                                     	RECTORÍA                                                                                            	Secretaría De Asuntos Jurídicos                                                                     	RECTORÍA                                                                                            	Secretaría De Asuntos Jurídicos                                                                     	MAGIX
375	SEDE LITORAL NORTE - SALTO                                                                          	VPA       	Sede Litoral Norte - Salto                                                                          	VPA       	Sede Litoral Norte - Salto                                                                          	MAGIX
374	DCI-SECRETARÍA DE PROMOCIÓN                                                                         	VCU       	Dci-Secretaría De Promoción                                                                         	VCU       	Dci-Secretaría De Promoción                                                                         	MAGIX
373	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	VPA       	Sede Punta Del Este- Maldonado                                                                      	VPA       	Sede Punta Del Este- Maldonado                                                                      	MAGIX
372	DCI-SECRETARÍA DE ADMISIÓN                                                                          	VCU       	Dci-Secretaría De Admisión                                                                          	VCU       	Dci-Secretaría De Admisión                                                                          	MAGIX
405	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
368	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
334	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
301	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
265	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
231	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
