CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
258	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
259	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD                                                     	SIEC
260	DRIC-SECRETAR�A DE COMUNICACI�N INSTITUCIONAL                                                       	DRIC
261	DRIC-SECRETAR�A DE RELACIONES INSTITUCIONALES                                                       	DRIC
262	VMU-DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                           	DFH
263	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
264	FACULTAD DE DERECHO                                                                                 	FD
265	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
266	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
267	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
268	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
269	DRIC-SECRETAR�A DE ADMISI�N                                                                         	DRIC
270	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
272	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
273	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
274	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
276	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
277	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
278	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
279	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
280	GENERALES                                                                                           	Generales 
281	CENTRO DE DESARROLLO T�CNICO PROFESIONAL                                                            	CDTP
282	SEDES MONTEVIDEO                                                                                    	MDEO
283	RECTOR�A                                                                                            	Rector�a  
284	REGISTRO ACAD�MICO                                                                                  	ORA
286	VICERRECTOR�A DEL MEDIO UNIVERSITARIO                                                               	VMU
287	VICERRECTOR�A ACAD�MICA                                                                             	VRAC
288	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO                                                     	VGED
289	CENTRO DE IDIOMAS                                                                                   	DPING     
290	ESCUELA DE NEGOCIOS                                                                                 	ESCNEG
292	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
293	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD                                                     	SIEC
294	DRIC-SECRETAR�A DE COMUNICACI�N INSTITUCIONAL                                                       	DRIC
295	DRIC-SECRETAR�A DE RELACIONES INSTITUCIONALES                                                       	DRIC
296	DRIC-SECRETAR�A DE PROMOCI�N                                                                        	DRIC
297	DRIC-DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                        	DCI
298	VMU-DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                           	DFH
299	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
300	FACULTAD DE DERECHO                                                                                 	FD
301	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
302	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
303	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
304	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
305	DRIC-SECRETAR�A DE ADMISI�N                                                                         	DRIC
306	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
307	DRIC-SECRETAR�A DE PROMOCI�N                                                                        	DRIC
308	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
309	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
310	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
311	DRIC-DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                        	DCI
312	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
313	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
314	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
315	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
316	GENERALES                                                                                           	Generales 
317	CENTRO DE DESARROLLO T�CNICO PROFESIONAL                                                            	CDTP
318	SEDES MONTEVIDEO                                                                                    	MDEO
319	RECTOR�A                                                                                            	Rector�a  
320	REGISTRO ACAD�MICO                                                                                  	ORA
321	VICERRECTOR�A DEL MEDIO UNIVERSITARIO                                                               	VMU
322	VICERRECTOR�A ACAD�MICA                                                                             	VRAC
323	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO                                                     	VGED
324	CENTRO DE IDIOMAS                                                                                   	DPING     
325	ESCUELA DE NEGOCIOS                                                                                 	ESCNEG
326	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
